,magnitude,depth
317,3.4,10.0
318,2.48,34.02
319,5.1,10.0
320,4.3,65.85
321,2.69,0.96
322,4.3,10.0
323,4.5,10.0
324,4.3,143.96
325,5.0,10.0
326,3.4,31.4
327,5.0,10.0
328,5.2,10.0
329,2.58,6.44
330,6.3,13.0
331,4.7,50.89
332,5.1,10.0
333,5.0,10.0
334,5.6,10.0
335,4.8,10.0
336,5.1,10.0
337,5.1,10.0
338,5.1,10.0
339,4.2,10.0
340,2.8,6.4
341,5.3,10.0
342,5.3,10.0
343,5.1,10.0
344,5.0,10.0
345,5.9,11.0
346,5.3,10.0
347,4.9,10.0
348,5.0,10.0
349,5.7,8.0
350,5.7,10.0
351,5.6,10.0
352,5.5,16.0
353,4.6,53.26
354,3.26,6.77
355,2.96,5.0
356,5.2,10.0
357,4.6,10.0
358,4.7,10.0
359,2.5,5.0
360,4.8,10.0
361,5.0,10.0
362,5.0,10.0
363,5.0,10.0
364,5.0,10.0
365,6.2,10.0
366,4.2,126.93
367,4.6,10.0
368,4.7,10.0
369,2.86,2.61
370,5.1,10.0
371,2.7,10.0
372,4.9,10.0
373,4.5,10.0
374,5.0,10.0
375,4.7,10.0
376,5.3,10.0
377,3.0,10.0
378,2.7,9.8
379,4.9,10.0
380,4.4,10.0
381,2.71,11.0
382,3.54,7.83
383,2.65,8.0
384,5.9,15.0
385,5.1,10.0
386,2.8,0.1
387,5.6,17.97
388,5.4,10.0
389,3.74,64.0
390,4.9,10.0
391,5.0,10.0
392,4.6,64.41
393,5.1,10.0
394,5.0,10.0
395,2.98,1.69
396,2.6,10.5
397,2.6,119.4
398,4.9,10.0
399,4.7,10.0
400,5.0,10.0
401,5.1,10.0
402,5.3,10.0
403,5.3,10.0
404,5.1,10.0
405,5.2,10.0
406,5.6,10.0
407,5.6,10.0
408,5.6,10.0
409,5.4,10.0
410,5.3,10.0
411,6.3,17.0
412,2.7,1.7
413,2.61,19.33
414,5.1,10.0
415,5.2,10.0
416,3.0,10.0
417,5.3,10.0
418,5.3,10.0
419,4.9,10.0
420,5.0,10.0
421,5.6,10.0
422,5.2,10.0
423,5.2,10.0
424,2.7,9.67
425,5.9,10.0
426,5.5,10.0
427,3.8,31.64
428,5.3,10.0
429,5.1,10.0
430,5.6,10.0
431,5.5,10.0
432,6.1,10.0
433,5.4,10.0
434,2.82,9.0
435,5.6,10.0
436,2.99,21.78
437,3.8,32.99
438,5.4,10.0
439,5.8,10.0
440,5.2,10.0
441,5.7,10.0
442,5.1,10.0
443,5.5,10.0
444,5.4,10.0
445,5.1,10.0
446,5.1,10.0
447,5.6,10.0
448,6.1,10.0
449,5.5,10.0
450,4.6,10.0
451,2.9,10.0
452,5.7,10.0
453,8.1,26.45
454,5.5,10.0
455,4.9,10.0
456,5.1,27.05
457,5.0,10.0
458,5.8,10.0
459,2.9,0.9
460,5.2,36.87
461,5.6,10.0
462,7.4,53.09
463,4.4,10.0
464,4.7,108.43
465,4.6,10.0
466,2.88,20.53
467,6.1,173.3
468,2.5,12.52
469,4.7,10.0
470,4.6,71.5
471,3.09,10.6
472,5.0,10.0
473,5.3,10.0
474,5.4,5.57
475,4.9,10.0
476,4.5,10.0
477,5.1,10.0
478,4.7,10.0
479,4.6,10.0
480,4.6,10.0
481,5.6,10.0
482,5.0,10.0
483,2.59,-0.76
484,4.3,35.0
485,7.3,20.78
486,2.91,20.0
487,2.63,12.0
